ID	H.SRR1927149	H.SRR1929408	H.SRR1929484	H.SRR1929485	H.SRR1929563	H.SRR1929574	H.SRR1930121	H.SRR1930122	H.SRR1930123	H.SRR1930128	H.SRR1930132	H.SRR1930133	H.SRR1930134	H.SRR1930136	H.SRR1930138	H.SRR1930140	H.SRR1930141	H.SRR1930142	H.SRR1930143	H.SRR1930144	H.SRR1930145	H.SRR1930149	H.SRR1930176	H.SRR1930177	H.SRR1930179	H.SRR1930187	H.SRR1930244	
Acidaminococcus	0.00000000	0.00059881	0.00000000	0.00000000	0.00000000	0.00000000	0.00062456	0.00000000	0.00054329	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028382	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Alistipes	0.00541894	0.01000294	0.00993471	0.00778253	0.01300637	0.00982852	0.01062713	0.00600376	0.00658671	0.00552594	0.00000000	0.01235292	0.00894461	0.00515802	0.02212041	0.00160402	0.00867475	0.01678815	0.01870757	0.02219154	0.01255611	0.02172650	0.00814149	0.00000000	0.00386132	0.00000000	0.00632678	
Alloprevotella	0.00285979	0.00743831	0.00390691	0.00156490	0.00887424	0.00192979	0.00990827	0.00305873	0.01420307	0.00583494	0.03103468	0.00473303	0.00085799	0.00737416	0.01004122	0.01736557	0.00645200	0.00977224	0.00926647	0.00529399	0.00773765	0.00000000	0.00000000	0.03495950	0.00000000	0.01053586	0.00778470	
Anaerostipes	0.00000000	0.00024765	0.00000000	0.00000000	0.00036306	0.00000000	0.00035692	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerotruncus	0.00039678	0.00121843	0.00000000	0.00000000	0.00083359	0.00053086	0.00180863	0.00101537	0.00173857	0.00083615	0.00000000	0.00136932	0.00000000	0.00074621	0.00000000	0.00000000	0.00149822	0.00111066	0.00000000	0.00000000	0.00051133	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00070257	
Atopobium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00054246	0.00000000	0.00032748	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Bacillus	0.00050360	0.00090087	0.00161542	0.00000000	0.00102302	0.00045930	0.00098379	0.00207730	0.00048961	0.00107099	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00067762	0.00000000	0.00000000	0.00000000	0.00122739	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00060587	
Bacteroides	0.02975088	0.03462004	0.04011678	0.04266211	0.05954004	0.04414488	0.03987544	0.04398266	0.04796425	0.05928841	0.07752824	0.04234487	0.02936360	0.04447226	0.06361663	0.07248535	0.04798127	0.05349691	0.06630896	0.05225787	0.04324875	0.05411936	0.04991565	0.06723108	0.06656508	0.02766589	0.03352853	
Barnesiella	0.00048029	0.00103184	0.00000000	0.00000000	0.00436725	0.00240042	0.00215029	0.00138230	0.00147295	0.00249145	0.00000000	0.00080421	0.00122417	0.00081174	0.00334771	0.00000000	0.00154974	0.00294419	0.00307995	0.00127701	0.00125427	0.00233087	0.00515208	0.00000000	0.00000000	0.00000000	0.00066313	
Bifidobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00042635	0.00000000	0.00064359	0.00000000	0.00030435	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Blastocystis	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00050865	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Blautia	0.00073109	0.00103458	0.00092284	0.00000000	0.00119094	0.00100117	0.00206614	0.00492039	0.00412842	0.00619633	0.00000000	0.00145329	0.00134381	0.00176183	0.00000000	0.00000000	0.00138507	0.00131080	0.00110094	0.00000000	0.00129371	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00203746	
Brachyspira	0.00054212	0.00339768	0.00794996	0.00123064	0.00000000	0.00056250	0.00000000	0.00000000	0.00018814	0.01053139	0.00770728	0.00000000	0.00209822	0.00000000	0.00000000	0.00000000	0.00537318	0.00000000	0.00000000	0.00000000	0.00645878	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00871431	
Butyricicoccus	0.00000000	0.00486729	0.00483447	0.00136753	0.00138749	0.00000000	0.00541129	0.00325528	0.00805903	0.00098491	0.00000000	0.00000000	0.00000000	0.00903362	0.00189674	0.00000000	0.00251784	0.00635509	0.00412679	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Butyricimonas	0.00063410	0.00077883	0.00000000	0.00000000	0.00114345	0.00082346	0.00092709	0.00086650	0.00119242	0.00109608	0.00293670	0.00135735	0.00000000	0.00172329	0.00000000	0.00349211	0.00141093	0.00136701	0.00163084	0.00000000	0.00151352	0.00000000	0.00000000	0.00309073	0.00000000	0.00000000	0.00000000	
Butyrivibrio	0.00151302	0.00065986	0.00000000	0.00000000	0.00042739	0.00201367	0.00083558	0.00147738	0.00322019	0.00000000	0.00000000	0.00108961	0.00261295	0.00000000	0.00000000	0.00107147	0.00099222	0.00000000	0.00000000	0.00187756	0.05265804	0.01497187	0.00000000	0.00130232	0.00000000	0.00000000	0.00222953	
