ID	A.SRS011061	A.SRS011134	A.SRS011239	A.SRS011271	A.SRS011302	A.SRS011405	A.SRS011452	A.SRS011529	A.SRS011586	A.SRS012273	A.SRS012902	A.SRS013158	A.SRS013215	A.SRS013476	A.SRS013521	A.SRS013687	A.SRS013800	A.SRS013951	A.SRS014235	A.SRS014287	A.SRS014313	A.SRS014459	A.SRS014613	A.SRS014683	A.SRS014923	A.SRS014979	A.SRS015065	A.SRS015133	A.SRS015190	A.SRS015217	A.SRS015264	A.SRS015369	A.SRS015578	A.SRS015663	A.SRS015782	A.SRS015794	A.SRS015854	A.SRS015960	A.SRS016018	A.SRS016056	A.SRS016095	A.SRS016203	A.SRS016267	A.SRS016335	A.SRS016495	A.SRS016517	A.SRS016585	A.SRS016753	A.SRS016954	A.SRS016989	A.SRS017103	A.SRS017191	A.SRS017247	A.SRS017307	A.SRS017433	A.SRS017521	A.SRS017701	A.SRS017821	A.SRS018133	A.SRS018313	A.SRS018351	A.SRS018427	A.SRS018575	A.SRS018656	A.SRS018817	A.SRS019030	A.SRS019161	A.SRS019267	A.SRS019397	A.SRS019582	A.SRS019601	A.SRS019685	A.SRS019787	A.SRS019910	A.SRS019968	A.SRS020233	A.SRS020328	A.SRS020869	A.SRS021484	A.SRS021948	A.SRS022071	A.SRS022137	A.SRS022524	A.SRS022609	A.SRS022713	A.SRS023176	A.SRS023346	A.SRS023526	A.SRS023583	A.SRS023829	A.SRS023914	A.SRS023971	A.SRS024009	A.SRS024075	A.SRS024132	A.SRS024265	A.SRS024331	A.SRS024388	A.SRS024435	A.SRS024549	A.SRS024625	A.SRS042284	A.SRS042628	A.SRS043001	A.SRS043411	A.SRS043701	A.SRS045004	A.SRS045645	A.SRS045713	A.SRS047014	A.SRS047044	A.SRS048164	A.SRS048870	A.SRS049164	A.SRS049712	A.SRS049900	A.SRS049959	A.SRS049995	A.SRS050299	A.SRS050422	A.SRS050752	A.SRS050925	A.SRS051031	A.SRS051882	A.SRS052027	A.SRS052697	A.SRS053214	A.SRS053335	A.SRS053398	A.SRS054590	A.SRS054956	A.SRS055982	A.SRS056259	A.SRS056519	A.SRS057478	A.SRS057717	A.SRS058723	A.SRS058770	A.SRS062427	A.SRS063040	A.SRS063985	A.SRS064276	A.SRS064557	A.SRS064645	A.SRS065504	A.SRS075398	A.SRS077730	A.SRS078176	
Acetivibrio	0.00000000	0.00028446	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00029391	0.00000000	0.00000000	0.00000000	0.00022497	0.00000000	0.00000000	0.00000000	0.00046084	0.00000000	0.00000000	0.00000000	0.00005806	0.00000000	0.00000000	0.00000000	0.00028388	0.00000000	0.00017861	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00015658	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00014707	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00010528	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00011059	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020804	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012410	0.00000000	0.00008212	0.00000000	0.00000000	0.00000000	0.00000000	0.00021103	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025527	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acetobacterium	0.00000000	0.00015857	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Acholeplasma	0.00000000	0.00062929	0.00148988	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00030266	0.00000000	0.00055035	0.00000000	0.00000000	0.00021909	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00008011	0.00000000	0.00000000	0.00000000	0.00000000	0.00009478	0.00000000	0.00000000	0.00000000	0.00000000	0.00007650	0.00000000	0.00000000	0.00054487	0.00000000	0.00070035	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00014737	0.00000000	0.00000000	0.00000000	0.00009185	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019041	0.00000000	0.00013916	0.00000000	0.00000000	0.00020592	0.00000000	0.00035652	0.00000000	0.00000000	0.00000000	0.00019101	0.00006974	0.00072443	0.00000000	0.00000000	0.00035479	0.00000000	0.00000000	0.00042557	0.00000000	0.00000000	0.00000000	0.00007375	0.00000000	0.00000000	0.00224396	0.00000000	0.00039411	0.00000000	0.00024847	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00102986	0.00049654	0.00000000	0.00000000	0.00038765	0.00013605	0.00064857	0.00000000	0.00000000	0.00011108	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024645	0.00011253	0.00000000	0.00000000	0.00099532	0.00000000	0.00000000	0.00008569	
Acidaminococcus	0.00061156	0.00000000	0.00283986	0.00021989	0.00031317	0.00000000	0.00000000	0.00000000	0.00000000	0.00024789	0.00022573	0.00022122	0.00000000	0.00011445	0.00000000	0.00000000	0.00005749	0.00050861	0.00000000	0.00048028	0.00000000	0.00000000	0.00000000	0.01131662	0.00041689	0.00016696	0.00000000	0.00000000	0.00000000	0.00893797	0.00614294	0.00000000	0.00000000	0.00000000	0.00065607	0.00000000	0.00000000	0.00000000	0.00009260	0.00000000	0.00015236	0.00000000	0.00000000	0.00000000	0.01260743	0.03290804	0.00000000	0.00012267	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020623	0.00010071	0.00000000	0.00008283	0.00000000	0.00000000	0.00045016	0.00000000	0.00000000	0.00034692	0.00000000	0.00000000	0.00135339	0.00017821	0.00000000	0.00000000	0.00235744	0.00004765	0.00000000	0.00037109	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027991	0.00016054	0.00012753	0.00023637	0.00000000	0.00000000	0.00018209	0.00007976	0.00595475	0.00000000	0.00000000	0.00089622	0.00000000	0.00004712	0.00000000	0.00000000	0.00023484	0.00000000	0.00000000	0.00000000	0.00018846	0.00000000	0.00017214	0.00000000	0.00030234	0.00000000	0.00014032	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00070935	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024016	0.00000000	0.00469186	0.00014308	0.00000000	0.00010168	0.00000000	0.00421328	0.00637643	0.00008322	0.00684716	0.00012882	0.00000000	0.00000000	0.00000000	0.00007276	0.00007734	0.00059998	0.00011709	0.00015711	0.00641761	0.00000000	0.00000000	0.00025554	0.00000000	0.00000000	0.00000000	0.00000000	0.00009351	0.00044015	0.00027983	0.00000000	
Akkermansia	0.00000000	0.00628751	0.00955709	0.00000000	0.00508905	0.00153098	0.00000000	0.00000000	0.01181095	0.00020981	0.00000000	0.00000000	0.00000000	0.00112845	0.00000000	0.01623554	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00126781	0.00000000	0.00000000	0.03313056	0.00000000	0.01843523	0.00000000	0.11601011	0.00000000	0.00000000	0.00000000	0.00873718	0.00000000	0.00000000	0.01302476	0.00000000	0.00571516	0.00000000	0.00245456	0.00000000	0.00000000	0.00412405	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01226797	0.00000000	0.00000000	0.00000000	0.00000000	0.00539644	0.00000000	0.00000000	0.00000000	0.00000000	0.00244603	0.00000000	0.00000000	0.01137803	0.00091356	0.00000000	0.00417073	0.00000000	0.00000000	0.00082211	0.01758383	0.00000000	0.02827434	0.00000000	0.00534442	0.00000000	0.03207097	0.00662534	0.00166939	0.00851806	0.00211779	0.00143768	0.00000000	0.00000000	0.03217996	0.00000000	0.00000000	0.00097498	0.00000000	0.00000000	0.00347963	0.00000000	0.00020959	0.00433646	0.00087897	0.00000000	0.00175716	0.00000000	0.00016441	0.00330218	0.00000000	0.00000000	0.00674736	0.00000000	0.00119153	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00910144	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00738533	0.00000000	0.01451116	0.00000000	0.00411219	0.02386655	0.00000000	0.00031835	0.00772175	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02207836	0.00000000	0.01024514	0.03792133	0.00000000	0.00000000	0.00757770	0.00000000	0.00461782	0.00319965	
Alistipes	0.13436900	0.05143478	0.08678038	0.05739652	0.05130928	0.02922157	0.00279679	0.01538176	0.11222052	0.12149232	0.00000000	0.00161678	0.01324456	0.02608219	0.02688337	0.00139829	0.05151500	0.00901028	0.04216899	0.05888809	0.10975195	0.03418507	0.05882797	0.09202726	0.02748168	0.06404991	0.02650790	0.03496143	0.02864854	0.01797416	0.03664615	0.01360278	0.00000000	0.05570206	0.06971289	0.09411591	0.10092237	0.12082566	0.23271041	0.03059524	0.02684416	0.08038802	0.06509436	0.07580678	0.01399432	0.05349837	0.00026463	0.01494806	0.05662967	0.02850649	0.07779471	0.04486771	0.02741641	0.05029348	0.06565824	0.01724346	0.02301122	0.03461344	0.10506223	0.14402148	0.17275592	0.05021791	0.09260130	0.34981566	0.05465562	0.07920900	0.05854807	0.18051114	0.00231099	0.07496088	0.12245549	0.11829895	0.14881233	0.04317866	0.22402013	0.09664716	0.10825137	0.03843176	0.10955607	0.12889715	0.22987064	0.04694065	0.05590273	0.05470076	0.00000000	0.00598741	0.00000000	0.06728417	0.10742673	0.00000000	0.00131624	0.02881058	0.05044530	0.02371517	0.04771028	0.05136476	0.05466167	0.05874568	0.13189310	0.01586487	0.05542083	0.01770958	0.04909139	0.00207875	0.06904793	0.07180433	0.09474618	0.06150883	0.10422481	0.04583913	0.02696861	0.03683276	0.10458394	0.02878843	0.00947142	0.02331261	0.06005796	0.08906601	0.06739064	0.01621540	0.06050618	0.11630905	0.03290493	0.05523292	0.00962731	0.06461435	0.07432294	0.09073380	0.09882888	0.11561800	0.01691400	0.04505517	0.02161160	0.02489198	0.00000000	0.00000000	0.05666097	0.16351148	0.06679202	0.03029488	0.05335254	0.09148908	0.04016194	0.02886366	0.04811670	0.00000000	0.23085482	0.02955216	
Alloprevotella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00472247	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00601814	0.01445553	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00206459	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00336174	0.00000000	0.00000000	0.00058540	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00030095	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00766194	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01259279	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00047275	0.00000000	0.00000000	0.00000000	0.00000000	0.00539279	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00094817	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerostipes	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00011430	0.00022217	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00030575	0.00039302	0.00000000	0.00021335	0.00000000	0.00040161	0.00000000	0.00000000	0.00036667	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00009652	0.00000000	0.00000000	0.00018036	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00011470	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00017231	0.00000000	0.00000000	0.00000000	0.00010263	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00013291	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00041980	0.00000000	0.00000000	0.00011801	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00007073	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00018097	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Anaerotruncus	0.00277562	0.00178569	0.00064713	0.00049074	0.00112922	0.00025491	0.00000000	0.00046287	0.00132094	0.00093524	0.00000000	0.00000000	0.00000000	0.00086385	0.00021341	0.00036638	0.00000000	0.00130541	0.00066195	0.00054277	0.00000000	0.00072279	0.00027284	0.00035631	0.00173996	0.00150180	0.00061221	0.00098621	0.00023932	0.00089129	0.00057985	0.00000000	0.00023508	0.00159233	0.00138505	0.00013943	0.00056010	0.00019573	0.00057023	0.00013157	0.00041224	0.00102577	0.00000000	0.00116367	0.00099472	0.00078809	0.00000000	0.00000000	0.00029716	0.00000000	0.00054448	0.00027833	0.00000000	0.00020806	0.00000000	0.00292594	0.00039469	0.00055481	0.00000000	0.00070073	0.00140513	0.00057850	0.00030087	0.00035017	0.00050667	0.00019573	0.00076030	0.00000000	0.00000000	0.00153433	0.00056383	0.00108407	0.00000000	0.00081085	0.00030324	0.00052384	0.00460461	0.00082106	0.00074557	0.00066236	0.00083903	0.00029682	0.00054304	0.00083362	0.00015899	0.00010500	0.00000000	0.00027375	0.00000000	0.00000000	0.00048937	0.00008292	0.00030610	0.00026743	0.00099077	0.00110938	0.00031569	0.00013565	0.00050198	0.00000000	0.00034738	0.00000000	0.00233894	0.00037768	0.00065421	0.00041222	0.00062470	0.00035820	0.00000000	0.00081581	0.00036749	0.00083559	0.00041922	0.00061219	0.00034355	0.00024024	0.00205800	0.00104541	0.00000000	0.00053644	0.00163297	0.00120969	0.00069143	0.00026814	0.00022509	0.00157099	0.00024751	0.00030218	0.00024227	0.00012325	0.00050327	0.00021160	0.00017606	0.00009940	0.00000000	0.00000000	0.00000000	0.00022346	0.00000000	0.00046014	0.00047465	0.00116323	0.00000000	0.00000000	0.00080721	0.00000000	0.00021459	0.00058680	
Bacillus	0.00034443	0.00104512	0.00067708	0.00073552	0.00104479	0.00000000	0.00000000	0.00049590	0.00098944	0.00118651	0.00000000	0.00000000	0.00000000	0.00079985	0.00000000	0.00034529	0.00000000	0.00123363	0.00073376	0.00035820	0.00000000	0.00040069	0.00023856	0.00000000	0.00116177	0.00128411	0.00046964	0.00030879	0.00008628	0.00072488	0.00050021	0.00000000	0.00049155	0.00053607	0.00073556	0.00000000	0.00049257	0.00034415	0.00012920	0.00000000	0.00039233	0.00000000	0.00000000	0.00120295	0.00051608	0.00000000	0.00000000	0.00000000	0.00026489	0.00000000	0.00027325	0.00042452	0.00000000	0.00020632	0.00000000	0.00017732	0.00000000	0.00022862	0.00000000	0.00000000	0.00025172	0.00023811	0.00000000	0.00000000	0.00014934	0.00026537	0.00198425	0.00027371	0.00000000	0.00039980	0.00018067	0.00048467	0.00000000	0.00000000	0.00020698	0.00066640	0.00080816	0.00070047	0.00021355	0.00034139	0.00072090	0.00030773	0.00000000	0.00037558	0.00000000	0.00000000	0.00000000	0.00034339	0.00000000	0.00000000	0.00094465	0.00000000	0.00025632	0.00036244	0.00081003	0.00000000	0.00035885	0.00000000	0.00046863	0.00000000	0.00022978	0.00000000	0.00070243	0.00000000	0.00016924	0.00015792	0.00000000	0.00017781	0.00000000	0.00057612	0.00016894	0.00021304	0.00057277	0.00049296	0.00046470	0.00000000	0.00088379	0.00063844	0.00000000	0.00038908	0.00057762	0.00037798	0.00048692	0.00034491	0.00030454	0.00054152	0.00000000	0.00038254	0.00019720	0.00000000	0.00018291	0.00021176	0.00023757	0.00008878	0.00000000	0.00000000	0.00000000	0.00009394	0.00000000	0.00057375	0.00041471	0.00042692	0.00000000	0.00000000	0.00074921	0.00000000	0.00026978	0.00094172	
Bacteroides	0.26931151	0.22916484	0.45396510	0.24833784	0.23383042	0.67518913	0.77883603	0.39108344	0.34368223	0.26686733	0.88413902	0.76993151	0.90746836	0.35077913	0.41688751	0.23939116	0.53876067	0.10214571	0.34223766	0.36630574	0.40910392	0.31318639	0.60196121	0.59231028	0.13664472	0.09425573	0.30880093	0.26684617	0.70713335	0.09428549	0.56159792	0.80286691	0.62338054	0.31902748	0.19752067	0.48590551	0.33519290	0.56341844	0.40162504	0.76976048	0.32474689	0.52008244	0.58460157	0.40501628	0.15519370	0.34700180	0.05202728	0.69055181	0.61409081	0.65395706	0.53973617	0.67221259	0.79909639	0.17286042	0.68878253	0.46214696	0.57899393	0.58833846	0.70036400	0.18175675	0.22011237	0.54884232	0.46436442	0.09734840	0.66787978	0.60859642	0.44098213	0.47561788	0.56029196	0.24028928	0.42481149	0.37345548	0.43768043	0.46732667	0.38771703	0.33873828	0.18431916	0.38433281	0.48259062	0.37028792	0.22274319	0.63430948	0.42905348	0.27249366	0.78885262	0.86297220	0.85380677	0.26270722	0.71213201	0.72979490	0.11839047	0.77551835	0.64077218	0.65588985	0.21900976	0.54378864	0.58950944	0.78848366	0.28875957	0.80189759	0.70125789	0.76704557	0.09870256	0.72658233	0.56922719	0.65645310	0.60516711	0.66894399	0.49673790	0.34624370	0.17978567	0.50622312	0.44680761	0.46155644	0.35057651	0.73590746	0.10366105	0.35639613	0.69440080	0.25850496	0.22038038	0.40871882	0.40832076	0.55945862	0.63015314	0.42372557	0.61800821	0.53146759	0.32583747	0.63486361	0.59770560	0.63925985	0.64276967	0.69498317	0.76885160	0.82810402	0.42060496	0.60039435	0.66140664	0.44617160	0.35110255	0.27326034	0.73321908	0.73858556	0.42461587	0.70560086	0.43676599	0.21445180	
Barnesiella	0.00814849	0.00052390	0.00000000	0.00000000	0.01177647	0.00038957	0.00000000	0.00144725	0.00000000	0.00021156	0.00000000	0.00000000	0.00000000	0.00041923	0.02078598	0.00100484	0.00826187	0.00077307	0.00100188	0.00000000	0.00000000	0.00000000	0.00134970	0.00000000	0.00092498	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00053725	0.02722651	0.00000000	0.01444869	0.00287482	0.09074217	0.00000000	0.03063180	0.04171749	0.01234152	0.01877016	0.00050344	0.02032312	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01395213	0.02122452	0.01349601	0.00000000	0.00000000	0.04127515	0.00000000	0.01594130	0.01004380	0.01905336	0.03402793	0.00000000	0.00966705	0.00044804	0.00000000	0.00000000	0.00010077	0.00000000	0.00846127	0.00048288	0.04433166	0.00112064	0.00000000	0.00117650	0.01319921	0.02229585	0.04743915	0.02774241	0.05432923	0.00000000	0.02903370	0.01644908	0.00040418	0.00000000	0.01909539	0.00392864	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00153565	0.00000000	0.00000000	0.00000000	0.01399205	0.01430926	0.01097778	0.00000000	0.00641212	0.00000000	0.01154899	0.00000000	0.01204337	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012964	0.00000000	0.00620303	0.00000000	0.00000000	0.01521486	0.00000000	0.00068868	0.02126008	0.00036952	0.00000000	0.02833041	0.00096390	0.01286940	0.00000000	0.00932732	0.01357369	0.00000000	0.00000000	0.01659478	0.00000000	0.00000000	0.00000000	0.00933329	0.00000000	0.00000000	0.00000000	0.00000000	0.00624384	0.00000000	0.01303607	0.00000000	0.00105577	0.01598343	0.00000000	0.01026541	0.00000000	0.00000000	0.01037002	
Bifidobacterium	0.00000000	0.00000000	0.00167105	0.00025662	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00037357	0.00053856	0.00018342	0.00000000	0.00064870	0.00000000	0.00019898	0.00000000	0.00045234	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00186392	0.00096685	0.00166052	0.00000000	0.00517078	0.00000000	0.00033271	0.00000000	0.00000000	0.00349391	0.00000000	0.00029630	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02177794	0.07005473	0.00000000	0.00213760	0.00000000	0.00000000	0.02333960	0.00000000	0.00000000	0.00000000	0.00000000	0.00060465	0.00000000	0.00023202	0.00063419	0.00283312	0.00948756	0.00000000	0.00000000	0.00412389	0.00000000	0.00016850	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00095264	0.00280197	0.00652824	0.00000000	0.00000000	0.01015534	0.00020869	0.00000000	0.00000000	0.00000000	0.00016054	0.00000000	0.00113802	0.00000000	0.00048591	0.00039974	0.00000000	0.00000000	0.00058216	0.00048415	0.00000000	0.00386541	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00049397	0.00000000	0.00000000	0.00040410	0.00000000	0.00000000	0.00021416	0.00000000	0.00039901	0.00000000	0.00000000	0.00304566	0.00088322	0.00026232	0.00086717	0.00000000	0.00000000	0.00297609	0.00023884	0.00000000	0.00000000	0.00000000	0.00155920	0.00000000	0.00000000	0.00014030	0.00000000	0.00000000	0.00000000	0.00005697	0.00000000	0.00000000	0.00000000	0.00018356	0.00000000	0.00000000	0.00000000	0.00060710	0.00021080	0.00011562	
Bilophila	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00010483	0.00035787	0.00033963	0.00000000	0.00130484	0.00000000	0.00000000	0.00000000	0.00000000	0.00076106	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00008286	0.00000000	0.00000000	0.00027634	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00029993	0.00000000	0.00000000	0.00000000	0.00000000	0.00278480	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00004124	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00060920	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00008963	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00041557	0.00000000	0.00000000	0.00000000	0.00009224	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00013187	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020318	0.00000000	0.00000000	0.00000000	0.00000000	0.00011029	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00006357	0.00000000	0.00000000	0.00000000	0.00000000	0.00004705	0.00030208	0.00000000	0.00000000	0.00000000	0.00000000	0.00021671	0.00000000	0.00047254	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
